OTU_id	CM30c60-A	CM30c60-B	CM30c28-N	CM30c28-P	CM30b58-I	CM30c37-L	CM30c62-D	CM30c30-N	Plot08-I	Plot03-N	Plot07-N	LB1-A	CM30c37-E	LB5-I	CM30b60-M	CM30c30-L	Plot04-N	LB5-A	Plot07-M	CM30c39-A	CM30c62-M	Plot04-A	Plot03-H	CM30c51-H	CM30c53-I	CM30c51-I	CM30b58-C	LB1-E	CM31a5-A	Plot08-O	Plot05-I	Plot01-B	CM30c-O	CM30b60-E	CM30c39-E	Plot02-M	CM30c-P	CM30c35-D	CM30d12-H	CM30d12-L	CM30c46-D	CM30c44-B	CM30c35-B	CM30d3-L	CM30b51-B	Plot06-I	Plot06-N	Plot05-N	CM30c46-O	CM30b51-M	CM30d3-D	CM31a5-B	Plot01-L	CM30c53-B	Plot02-C	CM30c44-C
M01895_13_000000000-ABYEE_1_1104_22380_21061|gene_18S	18	0	0	0	0	0	0	3	0	0	0	0	0	995	0	0	0	7	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	188	1	0	1	2	6	9989	0	0	2	3	0	0	0	6	0	0
M01895_13_000000000-ABYEE_1_1103_3470_14338|gene_18S	1108	23	21	19	128	32	13	1245	31	23	68	11	1627	330	9989	1268	86	31	29	9	38	144	58	1	9	4	630	94	24	53	715	6	3	4134	8	97	7	63	16	263	1414	35	35	63	197	839	24	43	5	1148	79	19	5	98	7	3
M01895_13_000000000-ABYEE_1_1102_2664_10276|gene_18S	2	29	254	19	259	0	0	1154	70	25	0	467	5	229	0	806	147	1353	0	0	0	1	5	1	146	1	43	275	52	5	16	0	23	0	1	4	39	4	132	43	271	0	8	16	1	6	3	8	80	397	3	11	0	1767	0	0
M01895_13_000000000-ABYEE_1_1101_6249_19471|gene_18S	63	404	10	50	45	35	55	16	268	85	29	11	173	67	204	5	412	9	39	24	140	59	1768	136	90	57	67	46	78	1519	137	71	28	172	69	35	72	12	71	218	1	9	16	30	33	164	41	249	28	0	67	44	33	56	171	110
M01895_13_000000000-ABYEE_1_1102_13532_17546|gene_18S	57	57	975	46	34	95	163	388	422	100	245	437	11	572	35	871	44	1385	192	87	11	53	263	5	17	59	48	1025	119	1102	376	6	551	122	231	276	367	22	231	372	146	25	305	341	45	160	30	233	550	36	274	194	0	284	219	199
M01895_13_000000000-ABYEE_1_1112_14218_16584|gene_18S	0	1	173	1	0	0	0	0	1	961	0	0	0	0	0	5455	7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_13329_3332|gene_18S	10	96	261	775	24	125	209	39	34	528	171	102	32	753	214	509	225	1120	173	253	61	460	262	0	63	2	50	56	107	920	200	79	82	113	188	218	115	154	382	231	240	51	483	914	6	77	5	17	492	68	459	249	1	395	393	46
M01895_13_000000000-ABYEE_1_1101_14128_1476|gene_18S	18	88	0	6	0	244	1	719	3603	0	34	162	5	6085	64	1205	830	8711	14	464	566	250	160	6	785	0	2	3	1	214	0	0	0	96	11	1	8	88	395	446	1428	159	2	146	38	323	39	64	2	701	84	109	0	968	1	1106
M01895_13_000000000-ABYEE_1_1105_13240_17263|gene_18S	69	111	18	47	232	34	13	15	17	78	38	110	55	2791	103	9	115	700	207	10	190	1133	114	44	70	16	47	130	2	126	161	0	9	215	38	49	45	73	250	640	4	33	150	113	184	167	520	272	98	151	314	0	0	68	6	33
M01895_13_000000000-ABYEE_1_1101_14179_8387|gene_18S	85	11	11	0	385	2	308	9	179	44	0	250	80	35	4	3	0	12	0	1	158	0	690	18	0	2	30	472	0	685	295	1	3	16	307	25	9	1	264	66	0	0	1	0	829	0	1	67	7	528	2	0	0	0	31	5
M01895_13_000000000-ABYEE_1_1101_14485_7013|gene_18S	96	135	4	22	43	223	372	54	11	48	145	44	712	97	804	12	125	1048	183	340	354	83	539	179	110	322	273	210	1	168	167	14	0	2214	42	171	7	881	37	259	15	110	147	572	643	169	1004	797	112	62	478	5	56	98	81	48
M01895_13_000000000-ABYEE_1_1101_15447_14029|gene_18S	0	0	0	0	0	0	0	0	1	0	0	54	0	1674	0	41	0	111	0	127	0	0	0	0	0	0	0	1369	0	0	0	0	0	0	0	0	0	0	0	623	0	0	0	0	0	0	0	0	295	0	81	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_10187_2478|gene_18S	19	51	217	8	21	30	7	9	6	5	13	11	14	78	84	20	261	52	6	1	6553	9	43	1	49	3	4	119	0	159	19	1	41	13	2	40	5	374	40	567	21	6	125	83	35	99	515	89	17	4	79	1	1	10	47	17
M01895_13_000000000-ABYEE_1_1101_18543_4389|gene_18S	207	6	0	0	1	3	0	0	3	10	1140	3	109	0	44	0	0	0	154	82	0	6	80	174	0	33	39	0	1	458	573	18	1	0	117	12	17	374	166	3	0	69	528	2	30	113	67	374	6	0	20	3	0	0	32	54
M01895_13_000000000-ABYEE_1_1101_14669_1580|gene_18S	0	0	0	0	0	0	0	0	0	0	0	8	0	2984	0	1	0	0	0	0	0	400	0	0	0	5	0	20	0	0	0	0	0	0	0	0	0	0	52	0	0	31	0	0	1	0	0	0	0	0	1	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_18436_12148|gene_18S	0	0	0	11	0	0	0	380	7	0	0	354	0	160	0	596	0	665	0	0	0	1	0	0	46	0	0	2	0	0	0	1	0	0	0	0	0	0	5	0	343	0	0	0	1	0	0	0	0	0	0	0	0	3771	1	0
M01895_13_000000000-ABYEE_1_1106_10132_26166|gene_18S	17	11	9	9	139	27	0	16	6	22	48	20	13	208	44	21	242	258	173	30	9	397	103	7	9	7	125	74	0	13	601	2	2	108	91	6	10	14	24	186	1	21	12	22	266	204	405	340	29	19	260	0	9	6	3	47
M01895_13_000000000-ABYEE_1_1101_19596_8908|gene_18S	189	903	164	317	220	185	114	61	104	367	276	36	209	801	129	34	484	105	198	102	843	947	290	185	209	179	138	189	106	260	174	341	158	211	42	254	153	132	82	125	13	60	150	271	208	198	629	156	40	55	296	227	147	167	127	138
M01895_13_000000000-ABYEE_1_1101_12908_1854|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3095	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1112_15880_22321|gene_18S	0	9	17	3	20	3	15	98	690	1	0	7	0	41	8	1	36	4	0	0	220	18	23	12	15	16	1	21	1	268	10	11	29	1	1	163	72	65	1587	58	0	1	0	0	20	14	9	16	0	2	0	5	6	116	477	0
M01895_13_000000000-ABYEE_1_1102_17719_22712|gene_18S	135	22	5	2	74	13	18	7	2	5	161	9	175	14	186	0	34	26	155	158	50	1	181	237	11	142	69	82	3	275	124	15	2	184	14	125	42	81	8	235	1	10	6	551	76	78	167	354	1	9	69	0	3	23	64	65
M01895_13_000000000-ABYEE_1_1110_6129_7721|gene_18S	14	33	18	31	52	58	19	40	55	18	115	20	211	94	13	2	83	4	69	21	49	44	94	82	8	30	141	167	101	80	113	5	11	54	13	63	51	125	36	92	47	27	128	159	47	84	100	134	17	61	299	160	6	10	31	44
M01895_13_000000000-ABYEE_1_1101_20107_7352|gene_18S	1	185	99	82	0	8	0	48	16	28	88	6	18	62	67	48	64	45	1	3	74	28	4	0	25	1	18	196	0	440	29	0	57	40	11	13	79	6	17	26	15	2	11	3	9	0	137	84	117	79	103	7	0	58	4	1
M01895_13_000000000-ABYEE_1_1101_6310_25335|gene_18S	711	79	2	5	873	31	54	43	62	16	65	105	91	426	283	159	175	1555	100	14	495	295	39	48	266	10	47	134	396	234	77	26	10	138	8	11	87	149	76	108	36	34	61	633	25	60	320	109	3	13	124	77	11	39	82	276
M01895_13_000000000-ABYEE_1_1114_16270_9981|gene_18S	69	200	137	145	147	33	33	11	54	135	11	32	6	107	74	18	62	100	15	2	573	108	461	109	62	72	20	46	73	198	81	134	55	71	5	216	43	58	95	209	16	10	102	304	66	70	32	63	29	37	77	21	36	83	10	20
M01895_13_000000000-ABYEE_1_1101_13094_4534|gene_18S	4	197	74	136	30	45	14	34	26	32	10	25	36	22	203	11	724	19	2	7	225	360	95	23	109	18	30	10	30	154	48	55	48	12	5	29	66	58	34	67	6	11	83	9	32	71	87	39	4	38	18	13	15	115	11	14
M01895_13_000000000-ABYEE_1_1104_8342_14645|gene_18S	0	0	0	0	12	61	0	0	1	0	273	3	17	0	11	0	0	0	76	0	0	0	130	0	0	0	12	53	0	68	1	0	0	0	0	2	0	309	0	230	6	0	63	291	14	0	36	233	73	0	461	0	0	0	0	9
M01895_13_000000000-ABYEE_1_1101_19213_2214|gene_18S	0	0	70	7	0	0	0	190	27	0	0	160	0	115	0	1239	0	210	0	1	0	0	0	0	175	0	0	5	1	0	0	0	13	0	0	1	0	0	1	3	0	0	0	1	2	0	0	0	1	0	0	0	0	720	0	0
M01895_13_000000000-ABYEE_1_1103_14827_15675|gene_18S	0	0	29	0	0	21	0	0	0	0	8	0	0	1	0	0	62	0	27	1	0	0	628	0	0	0	0	0	373	0	1007	2	0	1	0	0	0	7	134	1	0	0	1	1	0	0	2	0	0	0	0	55	0	0	1	0
M01895_13_000000000-ABYEE_1_1107_17612_3563|gene_18S	510	532	58	4	23	1494	4	18	1518	11	14	6	83	13	1	21	7	13	10	0	5	68	124	22	63	26	36	363	0	2	6	3	28	1	3	22	12	1255	4	44	15	2	8	32	226	34	35	106	54	2	2	3	1	7	0	2
M01895_13_000000000-ABYEE_1_2112_11727_12028|gene_18S	4	4	71	160	0	17	6	0	81	27	0	0	68	0	39	0	29	0	0	1	14	0	74	1	13	1	35	0	61	238	57	0	0	51	78	198	1	2	118	56	7	0	35	246	0	25	0	4	1	14	24	38	4	20	11	0
M01895_13_000000000-ABYEE_1_1101_8539_4600|gene_18S	0	2	0	0	51	6	0	1	1	0	441	81	1	22	32	169	2	220	528	170	15	0	1	2	0	22	0	3	0	7	43	0	0	8	0	0	0	0	0	31	7	0	0	25	61	0	0	165	241	0	1	0	0	0	65	0
M01895_13_000000000-ABYEE_1_1102_7609_16362|gene_18S	0	11	3	0	1	4	0	25	66	1	1	0	4	1	0	16	0	4	2	17	58	0	0	3	0	3	4	12	5	3	1568	4	0	11	1	33	4	21	2	3	2	0	0	3	4	46	2	2	1	0	14	6	0	19	9	6
M01895_13_000000000-ABYEE_1_1107_9785_7290|gene_18S	18	0	35	0	39	29	0	10	117	0	50	31	10	159	12	149	0	215	90	31	0	87	21	0	0	0	10	49	0	46	3	0	34	2	0	0	23	0	2	7	165	0	0	172	0	10	25	2	84	26	72	0	0	1	73	0
M01895_13_000000000-ABYEE_1_1107_16076_4429|gene_18S	0	0	0	0	0	16	0	308	0	1	50	172	22	26	10	157	2	19	0	0	0	248	21	0	0	0	12	214	0	47	0	0	0	4	18	0	3	1	0	156	0	0	0	0	0	117	60	702	160	0	585	0	0	1	0	0
M01895_13_000000000-ABYEE_1_1113_10876_11152|gene_18S	6	101	420	766	1	1	45	9	377	29	3	0	10	0	1	0	31	1	2	0	182	0	5	10	22	24	7	0	360	70	24	0	56	0	0	446	59	3	55	63	1	0	6	194	0	4	3	2	2	0	6	116	0	35	19	0
M01895_13_000000000-ABYEE_1_1101_8205_13196|gene_18S	0	0	0	0	0	0	0	0	0	0	0	301	0	809	0	0	1	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	1	0	0	0	110	0	0
M01895_13_000000000-ABYEE_1_1101_15185_19277|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	42	0	72	0	0	0	0	0	0	0	437	0	0	0	16	1	0	0	0	0	1	104	0	0	1	0	2	0	0	2	0	0	22	0	1	1124	0	0	0	1	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_13766_4163|gene_18S	1	11	46	0	22	5	1	3	25	1	497	5	9	69	176	1	497	7	298	68	68	18	6	30	145	34	17	31	0	29	5	0	2	71	2	1	11	7	0	35	0	31	0	209	24	8	123	6	0	98	595	0	28	9	0	26
M01895_13_000000000-ABYEE_1_1101_10511_2902|gene_18S	1	0	32	22	1	1	0	0	0	417	0	0	0	3	0	1403	0	0	0	6	0	0	0	0	1	0	1	0	0	13	0	0	1	0	0	23	6	0	0	0	0	0	7	0	0	1	0	0	0	12	0	0	0	4	0	0
M01895_13_000000000-ABYEE_1_1101_12999_17847|gene_18S	174	21	90	33	58	27	34	0	60	68	7	25	0	49	150	9	16	11	1	0	31	33	0	23	62	96	23	12	79	74	5	92	149	1	0	54	141	77	10	48	19	1	102	154	173	27	45	456	162	77	214	2	0	90	0	0
M01895_13_000000000-ABYEE_1_1101_16992_1709|gene_18S	0	0	4	0	0	0	0	76	991	3	0	1	0	11	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	421	0	0	2	0	0	0	1	0	2	0	125	0	1	0	0	2	0	0	4	5	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2112_22819_7631|gene_18S	4	0	0	0	1	1	0	0	9	0	288	0	16	16	15	0	0	0	64	52	0	0	7	2	0	6	8	14	0	332	42	0	0	29	2	61	0	118	1	25	0	0	0	51	17	12	226	32	0	0	174	0	0	0	0	4
M01895_13_000000000-ABYEE_1_1101_8371_8634|gene_18S	3	62	49	70	32	5	17	41	4	28	14	13	2	123	9	22	104	14	25	4	135	1005	19	1	41	9	11	33	8	6	12	7	15	8	2	53	34	55	33	11	8	9	35	56	47	16	4	21	7	42	21	2	7	35	10	2
M01895_13_000000000-ABYEE_1_1105_9462_22458|gene_18S	0	0	0	0	0	14	0	0	0	0	0	0	0	239	0	1	710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	4	0	126	0	0	0	0	0	0	0	1	0	0	0	0	180	0	0
M01895_13_000000000-ABYEE_1_2114_9065_11736|gene_18S	9	71	47	16	73	27	9	28	20	35	20	84	34	100	29	41	95	36	47	17	9	37	16	105	53	6	44	248	192	42	68	1	7	34	5	12	44	34	65	118	26	8	117	181	75	42	97	110	30	379	405	189	1	139	7	5
M01895_13_000000000-ABYEE_1_2103_21636_14371|gene_18S	1	4	15	6	64	32	0	0	0	29	0	2	8	1	7	0	57	0	13	4	52	227	6	83	18	12	4	1	15	38	3	69	0	16	0	119	10	9	19	17	0	5	136	234	79	34	117	60	0	36	20	9	40	10	0	23
M01895_13_000000000-ABYEE_1_1108_15922_17487|gene_18S	21	6	0	3	17	7	3	21	18	0	93	6	34	42	8	5	6	13	80	23	0	11	158	72	0	14	15	424	5	105	3	12	0	20	15	26	4	3	5	28	1	44	4	9	47	11	62	43	1	2	18	56	3	13	15	7
M01895_13_000000000-ABYEE_1_1110_5312_11752|gene_18S	0	0	11	0	0	0	11	2	0	8	0	4	2	2	5	0	11	11	0	0	397	2	20	1	7	0	2	4	3	12	36	0	0	0	0	75	6	94	0	15	3	0	59	377	3	1	0	34	13	4	24	2	0	24	0	0
M01895_13_000000000-ABYEE_1_2101_26393_16445|gene_18S	0	0	0	2	0	12	0	0	0	0	0	0	4	1	0	1	9	8	7	1	2	1387	0	0	0	0	2	36	0	0	3	0	0	0	0	0	2	0	1	13	4	2	0	29	0	0	1	43	0	0	96	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2111_19529_10846|gene_18S	0	7	51	50	32	1	1	53	90	16	0	23	0	149	15	53	12	15	0	3	2	2	1	0	3	0	24	135	17	70	0	0	9	31	34	33	15	0	13	20	19	0	0	53	5	5	10	6	23	19	155	5	1	44	13	0
M01895_13_000000000-ABYEE_1_1102_13938_18664|gene_18S	0	2	1	1	9	1	32	3	6	0	28	4	3	14	4	6	0	16	18	0	3	3	795	7	0	0	1	25	2	4	2	0	4	17	0	39	5	17	0	6	0	0	2	8	21	2	41	149	122	12	3	0	0	2	6	8
M01895_13_000000000-ABYEE_1_1109_12507_12350|gene_18S	0	15	0	0	1	9	2	0	0	43	3	0	10	0	8	0	140	0	6	0	24	863	0	0	0	0	5	0	0	0	1	0	0	15	0	0	0	0	0	0	0	8	4	0	100	30	55	17	0	1	0	0	0	0	0	4
M01895_13_000000000-ABYEE_1_1101_15142_20278|gene_18S	0	3	19	3	1	2	0	44	8	11	1	32	5	153	2	144	11	829	0	0	11	0	0	0	9	10	1	16	1	0	0	0	2	0	1	4	5	21	18	18	45	0	1	14	0	65	1	0	0	67	0	0	1	37	0	0
M01895_13_000000000-ABYEE_1_1110_19008_26187|gene_18S	0	6	86	0	3	42	0	94	115	0	0	30	0	9	1	109	1	126	0	0	0	0	1	0	0	0	7	1	0	109	0	0	3	2	3	14	44	0	66	6	0	0	0	2	0	0	0	0	1	0	2	0	0	206	0	0
M01895_13_000000000-ABYEE_1_1102_12202_22075|gene_18S	8	76	173	45	81	17	10	188	46	48	55	91	21	312	5	123	22	201	50	10	5	39	79	4	12	8	23	145	15	46	24	6	17	12	46	79	58	32	34	25	81	1	89	30	10	21	28	40	98	65	42	8	1	83	15	6
M01895_13_000000000-ABYEE_1_1101_19189_5260|gene_18S	0	0	1481	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2103_28223_10539|gene_18S	0	3	2	6	29	18	6	144	41	37	3	5	6	12	82	67	44	5	3	6	12	67	32	0	0	0	14	3	1	7	44	0	81	0	4	39	22	0	29	9	2	7	0	11	0	46	32	103	4	2	6	0	0	0	9	10
M01895_13_000000000-ABYEE_1_1107_20549_4957|gene_18S	0	30	46	21	2	0	0	18	10	4	0	94	0	247	0	130	5	111	0	0	0	0	0	0	5	0	19	409	1	10	0	0	0	8	0	0	0	0	21	39	99	0	0	134	0	0	0	0	9	9	92	0	0	41	0	0
M01895_13_000000000-ABYEE_1_1103_19949_5283|gene_18S	4	3	17	3	2	1	0	4	10	1	155	0	3	21	14	2	8	0	176	72	2	64	0	57	1	5	3	18	1	0	3	53	3	207	0	71	1	14	1	7	0	84	28	5	5	2	0	1	0	2	89	1	60	0	0	95
M01895_13_000000000-ABYEE_1_1102_12982_13873|gene_18S	15	22	102	15	50	30	8	66	106	26	27	67	25	48	28	89	56	298	89	22	53	212	83	37	19	7	38	148	14	96	110	17	33	35	11	33	108	90	40	109	123	5	69	182	66	38	68	106	243	106	122	18	18	156	6	19
M01895_13_000000000-ABYEE_1_1112_6858_6690|gene_18S	4	2	0	12	3	2	0	0	10	65	2	3	0	125	1	0	3	1	4	0	0	0	1	0	1	5	6	68	155	94	27	0	0	0	1	15	4	10	2	28	4	0	79	33	15	22	2	3	83	2	27	44	0	0	0	0
M01895_13_000000000-ABYEE_1_1103_19910_12363|gene_18S	5	3	2	0	0	5	4	23	0	20	9	10	6	31	3	17	7	31	16	1	2	0	167	2	6	10	6	11	0	22	8	0	0	1	1	11	0	30	5	21	3	0	59	3	11	10	22	96	191	15	12	7	0	6	24	5
M01895_13_000000000-ABYEE_1_2101_10882_24082|gene_18S	2	0	137	22	19	15	59	35	6	21	1	35	28	36	108	0	61	5	0	16	126	0	80	32	5	0	15	16	145	83	27	0	25	15	11	157	38	19	8	1	0	1	95	99	4	29	20	0	0	3	44	10	33	20	0	0
M01895_13_000000000-ABYEE_1_1101_3571_8450|gene_18S	0	0	492	0	0	0	0	2	0	0	0	2	0	0	0	4	0	0	0	0	0	0	0	0	239	0	0	0	0	0	0	0	1	0	0	1	1	0	9	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_21656_12019|gene_18S	10	430	13	96	10	3	4	5	13	39	0	5	2	23	7	6	15	3	9	2	7	23	0	2	34	11	12	25	29	25	28	2	3	11	5	40	15	17	41	24	5	0	22	23	10	18	15	14	6	32	64	20	2	44	4	4
M01895_13_000000000-ABYEE_1_1107_21822_19458|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	629	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_21320_10715|gene_18S	29	23	0	1	73	7	16	37	12	260	3	0	5	10	2	0	93	5	1	0	201	331	42	11	11	5	17	2	5	12	10	99	17	5	0	95	24	197	3	2	0	7	47	0	5	23	57	85	104	0	1	11	9	5	1	9
M01895_13_000000000-ABYEE_1_1101_17962_2468|gene_18S	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	787	0	0	0	0	2	0	3	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	2	300	9	0	0	0	2	0	0	3	0	0
M01895_13_000000000-ABYEE_1_1110_9978_9468|gene_18S	0	0	0	0	0	100	0	0	0	8	1	0	0	5	28	1	0	91	1	0	35	83	0	58	8	45	0	45	10	3	8	21	0	8	0	0	0	77	0	72	0	0	0	52	76	0	4	64	0	0	126	0	3	23	17	1
M01895_13_000000000-ABYEE_1_1101_11726_10277|gene_18S	2	135	111	201	7	1	5	3	2	119	1	0	4	10	1	0	43	1	1	0	148	14	20	0	576	6	16	2	29	0	6	15	44	0	0	29	43	6	16	1	0	0	4	5	0	1	3	1	0	5	7	18	2	240	0	1
M01895_13_000000000-ABYEE_1_1101_14643_1846|gene_18S	0	0	0	0	0	0	0	0	0	792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1112_26337_6989|gene_18S	0	11	2	2	8	7	0	15	0	11	5	10	12	427	33	8	257	223	12	1	19	119	47	3	4	8	17	19	1	6	7	46	4	0	1	0	39	0	11	15	0	0	0	19	10	37	7	41	0	0	28	2	18	3	0	1
M01895_13_000000000-ABYEE_1_1102_21182_25613|gene_18S	3	0	88	13	0	0	0	1	1	11	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	10	0	0	8	0	168	0	1	282	166	3	7	48	39	0	4	0	0	1	0	0	12	0	0	0	0	81	0	1
M01895_13_000000000-ABYEE_1_2106_21307_23407|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	10	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	692	0	0	0	0	0	0	0	202	0	0	49	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_14472_24070|gene_18S	17	17	26	1	199	1	0	0	0	2	4	5	0	6	0	0	300	1	1	0	32	2	16	1	0	6	0	0	0	2	8	0	2	0	1	262	0	114	14	0	0	7	8	43	2	12	10	173	0	0	0	0	0	3	0	0
M01895_13_000000000-ABYEE_1_2104_6906_11015|gene_18S	8	22	13	4	18	2	17	3	23	16	6	0	5	7	2	1	29	4	4	2	36	31	15	18	7	8	2	9	56	17	39	3	21	2	3	105	53	33	28	10	2	0	97	48	3	14	8	13	0	28	15	26	4	32	14	1
M01895_13_000000000-ABYEE_1_1102_9144_16655|gene_18S	2	33	25	54	2	0	0	8	3	21	0	21	7	37	0	6	40	17	2	2	13	311	73	37	18	0	10	34	25	6	11	0	0	6	0	20	2	14	10	10	6	5	9	80	42	43	94	26	67	22	46	2	0	18	0	6
M01895_13_000000000-ABYEE_1_1105_11640_6974|gene_18S	4	64	55	103	1	0	0	73	9	10	0	9	0	62	0	0	8	0	0	0	88	20	0	33	23	0	1	0	36	3	45	0	11	0	0	13	14	0	77	11	23	0	0	0	0	4	0	0	0	3	0	47	4	1	0	0
