OTU_id	CM30c28-P	CM30c62-D	Plot07-M	LB1-E	Plot05-I	CM30c39-E	Plot01-L	CM30c53-I	CM31a5-A	CM30c46-D	CM30c-O	CM30c28-N	CM30d3-L	CM30c44-B	CM30c37-E	CM30c62-M	CM30c37-L	CM30c51-H	Plot05-N	CM30d12-H	Plot03-N	CM30c46-O	CM30b58-C	CM30b60-E	CM30c-P	Plot04-A	CM30c39-A	CM30c60-B	Plot01-B	CM30b51-M	CM30d12-L	Plot08-I	CM30c44-C	Plot04-N	LB5-I	CM30d3-D	CM30b58-I	LB1-A	LB5-A	CM30c30-L	Plot06-I	CM30c53-B	CM30c51-I	Plot02-C	CM30c35-D	Plot03-H	CM30b51-B	CM31a5-B	CM30c30-N	CM30b60-M	Plot02-M	Plot08-O	Plot06-N	CM30c35-B	Plot07-N	CM30c60-A
M00598_54_000000000-ABCWN_1_1104_27363_11830|gene_16S	14	0	748	145	174	388	166	5	2	2	4	0	70	1080	611	4	178	696	55	271	8	9	407	2785	77	396	1008	44	129	34	312	7	754	389	180	408	690	31	3	0	599	8	134	156	106	130	649	20	1	439	1	24	855	53	1044	168
M00598_54_000000000-ABCWN_1_2105_15881_13476|gene_16S	28	204	175	36	223	256	39	52	139	19	657	124	32	199	273	164	222	162	372	44	157	91	275	398	180	79	159	61	104	68	102	37	186	197	58	101	247	21	5	4	170	71	61	47	109	251	212	127	31	190	77	83	197	65	121	61
M00598_54_000000000-ABCWN_1_1101_29640_12230|gene_16S	669	107	71	126	354	33	10	256	484	780	58	259	37	60	176	111	127	230	173	317	126	197	117	126	148	12	66	125	4	669	86	294	64	199	350	29	129	262	368	178	64	305	24	76	89	69	46	799	595	75	44	155	65	109	55	49
M00598_54_000000000-ABCWN_1_1113_20329_15254|gene_16S	395	105	86	148	446	452	14	136	513	685	175	276	77	29	142	64	337	244	134	240	180	261	137	115	264	0	70	68	32	370	91	347	24	95	185	46	127	72	54	28	124	212	115	263	267	110	75	595	322	95	89	243	159	117	96	52
M00598_54_000000000-ABCWN_1_1102_15261_19903|gene_16S	243	133	7	42	80	65	6	320	361	300	2074	363	29	0	12	71	46	5	2	95	162	55	67	0	251	2	2	36	0	127	12	115	3	74	81	9	194	72	67	53	18	286	3	37	42	12	2	117	195	9	155	54	26	38	2	2
M00598_54_000000000-ABCWN_1_1110_9661_10787|gene_16S	18	3	157	202	94	45	48	30	902	34	16	12	111	11	104	8	61	262	39	119	30	429	75	350	212	31	170	17	81	86	124	27	52	99	114	187	62	25	30	16	54	13	85	77	14	81	54	90	10	68	40	78	45	5	104	21
M00598_54_000000000-ABCWN_1_1119_22144_14731|gene_16S	3	3	159	114	32	143	306	8	16	6	4	0	51	217	145	12	152	152	72	22	50	14	122	564	12	171	318	22	136	18	83	2	154	196	33	170	154	23	12	5	237	10	35	13	16	87	156	29	5	125	11	13	203	9	138	38
M00598_54_000000000-ABCWN_1_1102_10819_14811|gene_16S	0	0	57	70	76	230	32	2	7	7	7	0	23	22	130	4	115	84	70	89	7	68	86	230	14	9	125	32	86	43	109	26	25	51	37	72	154	1	0	0	101	0	22	39	12	44	107	87	2	53	1	85	222	6	55	17
M00598_54_000000000-ABCWN_1_2106_15121_18956|gene_16S	4	52	42	151	89	636	1	23	277	26	59	52	78	0	162	91	65	0	113	260	50	73	109	483	49	4	36	41	4	171	88	425	0	229	571	77	47	66	13	31	1	34	9	76	42	128	43	211	27	245	87	418	4	93	26	55
M00598_54_000000000-ABCWN_1_2117_20881_4790|gene_16S	4	17	80	10	200	37	656	23	39	1	2	0	7	120	83	36	258	487	90	68	30	31	174	267	30	60	97	66	457	176	151	2	136	380	2	15	125	0	5	0	181	23	147	20	41	24	233	290	5	91	4	20	273	41	78	49
M00598_54_000000000-ABCWN_1_1102_8590_15473|gene_16S	2	2	321	136	4	1278	0	0	14	6	10	0	65	32	159	0	89	18	7	203	0	28	6	355	19	0	407	1	1	32	75	11	82	0	265	165	373	37	0	3	136	0	4	81	71	370	7	67	21	61	6	204	179	28	604	11
M00598_54_000000000-ABCWN_1_2104_15557_18013|gene_16S	4	265	333	123	438	554	272	6	201	5	95	1	96	228	274	122	286	526	664	79	28	402	311	425	175	238	170	51	411	207	140	143	216	217	12	55	31	3	0	0	142	22	231	246	238	415	415	353	7	132	306	282	185	333	283	133
M00598_54_000000000-ABCWN_1_1116_18217_3397|gene_16S	18	181	35	92	196	41	4	12	312	182	152	23	60	5	39	47	77	21	41	122	35	46	63	67	139	5	27	9	0	127	22	157	11	22	188	19	122	90	161	40	25	32	10	27	71	44	36	220	44	21	157	94	35	43	18	8
M00598_54_000000000-ABCWN_1_1104_11500_13051|gene_16S	300	122	78	342	514	202	229	245	954	285	582	231	243	57	173	127	223	219	110	345	238	215	358	233	425	194	99	101	121	413	163	149	54	543	307	224	274	116	167	60	244	171	78	133	82	64	219	624	212	123	135	206	220	103	69	60
M00598_54_000000000-ABCWN_1_1101_14159_3942|gene_16S	22	43	25	282	160	35	34	87	114	34	63	6	197	19	51	81	105	42	45	124	29	112	92	75	86	32	53	15	31	76	94	19	10	195	162	136	74	39	22	3	50	29	54	23	25	50	44	89	5	36	36	108	72	21	24	8
M00598_54_000000000-ABCWN_1_1102_23837_5674|gene_16S	131	30	58	181	155	176	263	129	209	367	112	146	66	57	61	41	87	148	46	433	48	210	179	105	108	181	64	65	160	124	75	195	29	234	382	117	64	280	327	145	66	206	26	46	13	167	117	129	182	35	8	225	112	20	50	17
M00598_54_000000000-ABCWN_1_2104_18308_9711|gene_16S	1	1	8	233	182	93	0	0	0	17	0	3	51	0	49	0	31	1	2	173	1	149	22	0	0	0	1	0	0	18	74	95	0	21	821	170	2	248	149	13	0	0	1	64	34	23	8	32	24	0	3	123	43	45	15	0
M00598_54_000000000-ABCWN_1_1101_16239_14767|gene_16S	22	112	74	116	261	355	37	13	253	67	123	36	73	30	217	67	254	315	41	245	146	59	84	338	307	62	99	79	39	130	98	134	49	110	162	71	142	51	32	14	73	31	138	202	147	154	40	265	14	143	173	490	97	88	96	76
M00598_54_000000000-ABCWN_1_1107_12635_13971|gene_16S	50	85	36	282	222	560	14	187	137	125	187	112	195	21	267	207	151	81	53	763	231	140	266	364	185	64	372	48	8	238	90	326	22	778	496	110	154	115	45	52	132	145	75	44	74	92	51	381	75	603	38	585	40	82	21	46
M00598_54_000000000-ABCWN_1_1117_14916_23010|gene_16S	4	22	63	71	191	3	79	5	99	25	10	0	67	84	67	45	67	321	39	29	23	60	234	273	87	13	103	34	233	15	153	20	72	76	17	50	117	4	10	1	176	1	51	18	43	86	311	21	0	188	9	173	220	8	47	29
M00598_54_000000000-ABCWN_1_1101_25469_11510|gene_16S	244	15	44	118	134	97	125	272	203	138	97	81	74	47	74	71	110	281	7	438	124	74	154	69	175	106	113	220	143	213	82	143	28	332	198	56	88	146	148	41	69	286	54	23	18	26	71	273	194	25	22	155	99	28	57	21
M00598_54_000000000-ABCWN_1_1108_7084_6947|gene_16S	325	160	14	69	363	86	10	378	573	519	651	508	41	4	48	141	133	32	27	391	193	117	135	89	430	8	13	42	2	292	87	202	13	181	302	16	164	431	595	339	41	396	16	98	121	25	43	271	417	55	268	229	25	105	8	61
M00598_54_000000000-ABCWN_1_1114_9876_7263|gene_16S	6	1	56	69	48	27	91	18	180	5	5	0	36	36	92	11	75	152	104	25	33	81	77	271	69	44	102	9	188	83	45	4	56	100	37	79	95	0	3	0	58	6	51	35	1	19	84	87	3	74	1	19	81	13	53	24
M00598_54_000000000-ABCWN_1_1102_15965_24063|gene_16S	120	122	66	319	487	458	4	53	937	201	131	74	100	0	357	56	256	143	188	348	98	391	183	146	362	1	66	63	0	374	170	315	1	64	614	115	71	209	204	101	118	43	84	559	105	123	22	563	131	52	214	348	66	108	127	48
M00598_54_000000000-ABCWN_1_2114_12857_15785|gene_16S	12	27	67	197	106	174	127	8	162	22	21	8	96	86	257	22	107	108	338	99	26	187	65	298	119	41	91	48	87	90	54	54	69	71	143	132	185	35	16	8	64	5	51	149	14	498	76	189	27	70	30	42	133	16	74	46
M00598_54_000000000-ABCWN_1_2104_13277_7020|gene_16S	1	76	106	21	89	44	17	4	4	11	12	0	11	47	86	12	134	25	434	5	3	24	113	170	44	427	48	19	4	6	46	1	33	143	15	43	66	0	0	0	78	8	12	36	78	138	163	4	0	45	126	11	63	59	53	21
M00598_54_000000000-ABCWN_1_1113_19278_13055|gene_16S	2	0	424	15	12	103	25	0	0	0	1	0	11	845	87	1	57	23	72	29	0	0	252	1484	1	170	1119	5	1	0	42	0	597	80	16	34	287	3	0	0	268	5	4	17	24	14	340	1	0	238	0	0	268	2	398	33
M00598_54_000000000-ABCWN_1_1102_13634_10094|gene_16S	5	1	226	64	114	395	2	7	4	5	4	0	11	237	352	7	193	382	40	108	5	10	294	652	35	45	409	39	12	16	227	5	253	81	115	207	166	31	35	0	212	2	122	125	155	82	385	14	1	242	1	35	347	50	298	154
M00598_54_000000000-ABCWN_1_1101_19729_4692|gene_16S	4	8	85	2	37	82	19	0	0	1	14	0	0	188	80	1	52	97	31	15	0	4	44	279	75	71	138	12	47	4	14	0	133	80	3	22	47	0	0	0	76	1	40	38	50	28	63	1	0	119	3	0	67	54	86	35
M00598_54_000000000-ABCWN_1_1101_11981_15900|gene_16S	1	32	193	97	183	472	496	0	147	8	51	0	38	527	194	32	159	625	88	316	44	62	102	1761	161	199	443	56	391	156	54	135	595	107	115	100	196	12	14	0	143	3	133	155	75	53	124	349	5	180	160	287	130	52	205	172
M00598_54_000000000-ABCWN_1_1101_23980_17600|gene_16S	145	79	49	345	403	453	6	34	262	246	216	114	91	3	85	49	63	54	31	191	101	169	133	75	132	5	59	12	4	146	93	272	4	133	796	94	132	165	264	60	131	25	19	94	11	91	33	193	136	35	40	157	46	19	48	10
M00598_54_000000000-ABCWN_1_1107_18049_10365|gene_16S	1	7	107	1	47	87	43	0	0	0	3	0	0	69	133	0	81	103	130	19	0	0	15	163	7	1	73	12	25	7	70	5	84	1	2	1	27	1	0	0	34	0	69	47	34	173	21	4	1	112	21	2	53	35	134	51
M00598_54_000000000-ABCWN_1_1106_12473_12442|gene_16S	7	82	6	72	109	27	1	10	157	38	57	7	54	0	37	21	128	21	8	78	15	40	41	5	108	0	0	4	3	100	44	77	0	12	84	26	41	53	26	29	7	15	3	61	129	81	9	197	17	38	24	113	11	42	4	5
M00598_54_000000000-ABCWN_1_1109_14298_13619|gene_16S	39	0	0	20	115	7	1	60	0	129	11	105	12	0	2	10	4	0	0	68	10	17	111	2	1	1	0	63	0	73	9	36	0	454	153	17	6	75	77	113	1	130	0	0	4	0	46	0	46	5	0	9	6	0	0	0
M00598_54_000000000-ABCWN_1_1101_5491_10784|gene_16S	188	152	65	300	489	247	41	243	511	454	473	212	143	75	194	114	327	156	66	305	134	526	331	151	310	206	107	101	46	250	142	217	33	341	340	217	272	278	133	109	150	268	36	151	141	74	180	315	185	57	89	279	259	68	49	42
M00598_54_000000000-ABCWN_1_1102_25208_5033|gene_16S	1	0	210	2	6	15	92	0	1	0	0	0	4	295	61	3	41	574	72	20	13	0	138	632	6	124	352	12	174	2	44	0	254	141	4	43	29	0	0	0	82	7	62	10	19	28	164	0	1	122	1	1	129	3	308	63
M00598_54_000000000-ABCWN_1_1106_17136_11681|gene_16S	31	6	87	218	183	522	15	21	267	127	21	21	55	35	157	22	88	104	56	199	22	113	83	184	47	9	106	14	4	134	105	131	25	77	608	256	72	99	108	49	92	23	14	86	36	45	91	208	60	32	38	153	125	17	102	25
M00598_54_000000000-ABCWN_1_1101_16434_18441|gene_16S	6	3	110	191	302	11	91	49	1	10	10	11	143	54	150	20	152	158	49	201	25	153	208	69	76	62	362	18	23	33	78	27	56	262	57	154	115	7	8	1	126	4	24	58	29	42	200	29	2	94	3	146	181	12	103	16
M00598_54_000000000-ABCWN_1_1102_15935_22762|gene_16S	5	7	34	9	98	217	4	0	20	5	54	0	11	14	86	6	20	72	15	227	4	47	11	65	59	6	112	30	19	52	26	104	20	12	41	21	25	1	1	0	32	2	21	112	24	66	15	101	1	41	1	118	66	17	49	34
M00598_54_000000000-ABCWN_1_1102_19309_6068|gene_16S	1	3	125	86	30	145	235	4	3	2	2	0	38	184	99	4	100	72	57	17	2	37	172	333	25	167	194	4	115	2	45	9	79	67	10	73	60	32	14	0	93	2	8	32	44	74	198	5	0	57	12	39	94	22	113	14
M00598_54_000000000-ABCWN_1_2101_24884_17125|gene_16S	9	0	452	57	64	74	40	2	0	0	4	0	7	289	345	2	109	101	199	4	0	13	413	430	4	260	274	2	19	22	92	0	230	152	25	73	334	2	0	0	204	3	29	105	52	131	588	2	0	138	3	1	349	8	389	23
M00598_54_000000000-ABCWN_1_1105_13121_5416|gene_16S	18	26	78	94	141	125	94	42	17	33	102	5	57	69	126	37	180	65	201	91	27	91	153	141	84	203	94	23	56	24	62	30	40	225	50	101	145	15	16	13	94	31	13	49	44	268	161	24	9	70	41	116	153	21	64	11
M00598_54_000000000-ABCWN_1_1113_13426_5914|gene_16S	1	0	83	0	0	228	0	0	0	0	35	4	0	0	61	0	6	15	4	52	0	1	0	147	82	0	706	18	0	3	11	55	1	2	6	16	2	0	0	0	5	0	8	146	1	20	0	8	0	13	3	65	1	0	133	60
M00598_54_000000000-ABCWN_1_2118_19840_13943|gene_16S	2	0	84	137	34	41	0	0	2	5	4	0	38	6	46	0	74	50	25	6	0	28	23	65	10	13	58	0	0	1	34	1	1	1	260	95	62	93	0	0	0	0	4	64	68	53	15	0	4	12	52	27	5	36	59	6
M00598_54_000000000-ABCWN_1_1114_6258_14196|gene_16S	79	54	81	198	161	39	261	113	191	82	196	74	120	105	94	96	131	142	99	103	87	130	235	219	150	489	63	23	176	112	81	63	57	525	251	144	146	64	58	27	99	52	39	44	61	69	260	129	72	63	53	115	128	57	33	24
M00598_54_000000000-ABCWN_1_1102_19189_15493|gene_16S	0	0	118	37	44	16	84	6	4	0	1	0	22	522	56	1	23	95	21	2	5	8	230	262	7	128	213	3	45	34	21	0	214	176	22	61	95	1	0	0	90	3	9	11	7	26	290	41	4	41	1	11	237	5	121	6
M00598_54_000000000-ABCWN_1_1111_13357_18905|gene_16S	4	33	59	164	204	269	0	152	145	1258	37	44	84	9	136	7	94	7	18	241	41	91	72	97	52	0	90	13	0	95	78	169	4	12	179	34	43	183	307	203	71	27	7	49	48	20	50	91	186	57	44	72	39	43	79	19
M00598_54_000000000-ABCWN_1_1102_9859_6473|gene_16S	70	35	64	82	82	21	90	70	198	109	157	55	54	91	23	24	38	79	28	67	40	103	120	71	42	107	21	14	36	75	38	35	42	153	125	74	50	67	78	53	28	65	20	15	17	19	96	89	65	20	25	66	14	24	27	8
M00598_54_000000000-ABCWN_1_1108_24245_13849|gene_16S	85	92	49	347	436	142	107	309	778	166	389	104	230	6	116	93	196	54	36	224	150	375	201	126	288	84	35	70	34	336	101	169	13	299	249	106	137	130	43	8	108	61	52	102	110	41	127	533	66	57	136	169	135	39	40	22
M00598_54_000000000-ABCWN_1_1103_7079_4742|gene_16S	44	12	175	128	123	53	131	46	55	114	86	48	91	240	72	51	188	142	93	83	46	33	246	264	48	189	40	32	81	63	52	29	156	172	98	118	202	38	60	39	132	60	28	45	126	47	312	74	35	51	36	66	221	153	108	28
M00598_54_000000000-ABCWN_1_1108_15217_9522|gene_16S	4	3	69	56	164	231	0	0	43	26	4	0	22	34	174	0	157	30	35	32	0	49	13	70	29	0	109	15	4	8	42	59	9	0	25	25	94	5	0	0	46	0	10	96	130	40	10	23	7	16	61	51	39	98	72	21
M00598_54_000000000-ABCWN_1_2112_5866_11829|gene_16S	0	21	7	15	60	178	5	8	35	17	45	10	10	3	20	25	85	18	0	180	62	11	14	30	36	13	4	5	4	48	27	654	5	19	40	5	13	4	1	0	0	12	6	34	51	31	15	68	5	52	73	593	7	35	1	23
M00598_54_000000000-ABCWN_1_1101_16177_23800|gene_16S	202	2	12	34	35	29	0	91	19	194	264	186	10	3	29	18	16	10	5	25	27	26	30	12	17	0	20	6	0	39	6	31	3	24	149	14	33	46	73	35	34	34	2	8	14	2	10	28	157	15	15	10	9	21	7	3
M00598_54_000000000-ABCWN_1_1106_23113_12383|gene_16S	3	0	46	1	7	19	34	0	0	0	2	0	2	292	42	0	0	350	23	11	0	0	41	194	14	25	143	7	67	0	18	0	167	0	0	7	1	0	0	0	64	0	121	34	0	33	56	0	0	79	0	0	40	0	82	74
M00598_54_000000000-ABCWN_1_1101_16653_8166|gene_16S	3	0	166	31	3	7	264	0	2	0	6	0	9	314	167	3	104	443	127	0	21	1	120	741	11	101	149	5	349	5	61	0	288	234	56	213	132	5	3	0	116	5	61	5	34	7	144	0	0	104	0	6	259	0	165	36
M00598_54_000000000-ABCWN_1_1101_21218_14611|gene_16S	0	0	76	27	0	30	16	0	0	0	0	0	0	126	33	0	0	0	0	0	0	0	0	393	1	2	612	0	3	0	0	0	134	0	2	72	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	58	0	123	0
