OTU_id	CM30d3-L	CM30c60-B	LB5-A	Plot07-N	CM30c60-A	CM30c28-P	Plot03-N	CM30c53-I	CM30b58-C	CM30c62-D	LB1-A	CM30c35-D	CM30c28-N	CM30b58-I	CM30c37-E	CM30c51-H	CM30c30-L	CM30d12-L	CM30c37-L	CM30c62-M	Plot04-A	Plot05-N	CM30c30-N	CM30c-O	CM30c44-C	Plot08-I	CM30b51-M	Plot05-I	CM30d12-H	LB1-E	CM30c39-E	CM30b60-M	Plot08-O	CM30c39-A	CM30b60-E	Plot01-L	CM30c46-O	Plot03-H	Plot06-I	CM30c35-B	LB5-I	CM30d3-D	Plot02-M	CM30c46-D	CM31a5-B	CM31a5-A	CM30c44-B	Plot04-N	CM30c53-B	Plot01-B	CM30b51-B	Plot06-N	CM30c-P	Plot07-M	CM30c51-I	Plot02-C
M01895_13_000000000-ABYEE_1_1101_17041_2006|gene_ShCO1	0	4601	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	113	0	0	179	0	11	12	0	0	0	32	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_15473_2327|gene_ShCO1	0	5061	0	0	1	1	4	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	518	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1106_14894_9932|gene_ShCO1	0	0	0	0	0	0	3	0	0	13	0	0	0	0	5580	0	0	5	0	4	0	64	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	25	2	0	0	0	4	5	0	0	1	0	0	0	0	6	0	0	0	3
M01895_13_000000000-ABYEE_1_1109_8029_24175|gene_ShCO1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	2	0	0	3	0	0	0	0	0	371	0	1	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	4281	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_19363_6751|gene_ShCO1	0	796	0	53	381	0	0	1	1	2	0	1	1	81	269	1633	0	623	541	1	1	316	0	4	147	0	0	14	0	1	33	1607	0	1132	1290	0	0	60	45	1	0	800	0	2	3	0	40	0	1	10	4	871	33	791	337	0
M01895_13_000000000-ABYEE_1_1101_11551_22278|gene_ShCO1	684	59	11	9	114	222	759	476	181	156	17	162	67	164	40	28	15	110	57	1284	11	127	8	41	1	8	391	200	58	78	0	11	78	0	4	39	28	124	392	236	39	93	150	16	33	33	0	73	155	42	101	73	45	12	53	8
M01895_13_000000000-ABYEE_1_1103_13607_3213|gene_ShCO1	0	0	0	0	0	0	0	2	0	396	0	0	0	52	0	1258	0	0	0	1303	0	57	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1433	0	0	0	0	0	0	46	0	0	51	0	49	0
M01895_13_000000000-ABYEE_1_2108_16374_26728|gene_ShCO1	57	0	2	0	0	0	0	0	0	0	3	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	1	0	887	0	0	1174	0	0	0	2867	0	0	0	0	1	0	784	0	0	0	0	2	0	1	0	0	0	0	1
M01895_13_000000000-ABYEE_1_1102_5678_12538|gene_ShCO1	492	0	0	0	0	61	0	171	0	0	0	0	1364	0	1	0	0	0	0	810	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	1	0	0	0	20	0	0	0	4	952	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_12743_3003|gene_ShCO1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3549	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1105_25843_12549|gene_ShCO1	4	4	0	679	39	0	0	9	0	51	1	0	0	0	354	114	0	6	19	0	21	7	1	0	29	0	0	1	0	770	0	24	2	172	129	6	0	3	0	0	0	171	0	0	1	0	1	104	0	0	0	76	1	1513	289	0
M01895_13_000000000-ABYEE_1_1101_22454_22842|gene_ShCO1	1786	1	1	7	471	0	0	0	0	5	0	8	0	0	0	3	0	886	74	0	1	0	0	0	6	0	3003	0	1	11	0	0	1	0	141	0	0	43	0	0	1	83	0	0	0	0	0	55	20	0	4	517	377	14	0	11
M01895_13_000000000-ABYEE_1_2104_18817_4982|gene_ShCO1	0	2	35	0	0	40	9	343	0	0	0	0	0	0	0	0	313	2	13	14	0	0	1	0	0	6	164	0	12	0	0	6	6	0	0	0	3	1	0	0	4	7	30	4	0	2	0	17	2173	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_12224_2611|gene_ShCO1	31	3646	134	0	6	7	42	60	9	3	231	13	472	4	0	0	248	8	0	28	0	3	105	5	0	249	427	73	138	92	0	12	18	1	0	0	4	14	1	0	83	6	78	230	7	0	0	57	144	0	0	0	31	0	0	1
M01895_13_000000000-ABYEE_1_1101_7347_12599|gene_ShCO1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	15	1	2	0	171	0	1	0	0	0	0	1	0	0	0	0	0	34	0	2535	0	0	0	1211	0	0	0	139	0	1	0	0	0	0	0	0	7	2	0	0	0	0
M01895_13_000000000-ABYEE_1_1109_16664_4216|gene_ShCO1	0	0	0	0	0	0	0	976	0	0	3	0	0	0	0	0	3	0	0	0	0	0	2680	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_23587_4401|gene_ShCO1	1	38	0	4	634	20	384	792	164	4	1	311	0	0	0	3	1	76	199	664	104	165	0	2	0	3	34	667	71	0	0	63	0	1	12	0	32	113	1399	196	0	203	64	37	0	0	1	265	726	0	190	22	15	73	0	0
M01895_13_000000000-ABYEE_1_1112_17342_2824|gene_ShCO1	65	250	0	2	5	57	506	0	1308	838	0	239	0	26	0	1	2	16	29	232	0	8	36	242	0	26	0	484	1	245	6	0	222	0	0	0	206	28	0	844	1	31	450	71	41	328	2	0	2	0	0	0	269	0	0	27
M01895_13_000000000-ABYEE_1_1101_12492_5787|gene_ShCO1	102	344	0	0	0	394	0	1060	1	0	0	0	132	0	0	0	0	0	0	20	0	0	0	432	0	21	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	0	51	31	0	0	0	113	0	0	0
M01895_13_000000000-ABYEE_1_1101_8252_14375|gene_ShCO1	0	104	0	304	88	0	0	0	0	1	0	0	0	241	195	16	0	17	159	0	1090	738	0	0	337	1	0	21	262	4	0	298	193	239	183	472	0	11	126	0	0	1375	1	0	1	0	392	117	0	142	479	316	126	421	93	4
M01895_13_000000000-ABYEE_1_1101_16125_2962|gene_ShCO1	0	3	0	0	22	0	0	0	0	7	0	0	0	0	2	58	0	0	0	3277	8	0	0	0	0	0	0	22	0	0	0	0	1	0	0	8	0	0	2	0	0	0	28	0	0	0	0	1	1	0	0	0	0	0	6	0
M01895_13_000000000-ABYEE_1_1101_7529_4995|gene_ShCO1	0	11	0	0	0	675	864	5	22	1024	1	1	274	9	0	0	1	0	0	707	0	0	0	1073	0	51	0	171	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	3	26	1	78	0	0	0	0	5	0	0	1
M01895_13_000000000-ABYEE_1_1109_7889_20601|gene_ShCO1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	7	0	3	0	0	0	53	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2578	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1102_8205_8282|gene_ShCO1	1	0	1	0	0	0	0	0	0	0	0	2094	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1005	0	0	159	45	0	0	0	0	0	0	0	1	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_23250_18722|gene_ShCO1	0	0	16	2	47	0	0	1	0	326	0	0	0	0	0	0	0	1327	82	512	0	63	0	0	0	0	0	3	0	0	5	1	0	0	0	1	0	158	0	0	0	91	0	0	0	0	0	0	0	0	410	0	0	2	0	0
M01895_13_000000000-ABYEE_1_1101_16446_1753|gene_ShCO1	0	0	0	0	0	0	0	0	1	2616	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	470	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1850	0	1	0	0	0	0	3	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_12802_4095|gene_ShCO1	11	15	429	0	103	0	0	0	1	2	53	0	0	0	0	45	134	0	0	41	0	0	364	1	0	2041	120	0	1528	2	287	2	25	0	0	0	0	1	0	0	20	0	0	0	0	1	0	117	0	0	7	0	25	0	9	0
M01895_13_000000000-ABYEE_1_1112_5017_16248|gene_ShCO1	27	89	2	67	129	0	158	0	96	36	0	3	0	386	894	49	0	360	381	0	0	899	0	0	52	0	5	171	12	5	0	74	247	60	59	4	0	151	430	0	0	638	26	0	0	1	1	47	1	212	117	608	255	242	118	118
M01895_13_000000000-ABYEE_1_1101_19758_2430|gene_ShCO1	0	0	0	0	0	0	0	3	0	1	0	0	1842	0	0	0	4	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	801	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_19014_6252|gene_ShCO1	0	43	2	0	20	892	183	490	2	4	10	0	507	0	0	12	1	1	0	46	0	0	622	319	0	574	3	32	9	0	0	88	2	0	0	0	0	0	0	0	10	0	0	1	7	46	0	54	778	0	0	0	76	0	6	5
M01895_13_000000000-ABYEE_1_1101_12323_2582|gene_ShCO1	105	0	35	0	0	5	0	44	0	0	0	0	1502	0	0	0	0	20	0	19	0	0	36	0	0	1	0	0	9	0	0	0	3	0	0	0	0	0	0	0	303	0	0	0	0	0	0	0	298	0	3	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1102_15649_3840|gene_ShCO1	0	0	1402	0	0	0	0	0	0	0	1357	0	0	0	0	0	70	0	0	0	0	0	20	0	0	0	1	0	1	4	0	0	0	0	0	0	0	0	0	0	321	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1107_17572_1690|gene_ShCO1	0	4	0	16	4	0	2	1	1	0	0	0	0	43	17	1380	0	94	5	1	0	120	0	3	0	0	0	4	2	5	0	66	1	11	44	6	0	1	7	0	0	6	0	0	0	1	13	0	0	296	20	239	0	12	592	1
M01895_13_000000000-ABYEE_1_2112_9667_17425|gene_ShCO1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	107	0	2	2	0	0	0	0	0	20	1581	0	2	0	0	1	0	0	0	1	0	1	1392	0	0	0	0	0	0	0	4	0
M01895_13_000000000-ABYEE_1_1102_16679_13657|gene_ShCO1	2427	0	1	0	3	0	0	0	0	0	0	0	0	0	239	0	0	15	47	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	107	0	1	37	0	1	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_22552_3253|gene_ShCO1	3	0	0	1	0	0	277	1	0	1122	0	319	0	53	0	0	0	0	0	548	57	19	0	0	0	1	0	119	0	0	0	0	1	1	0	0	0	0	0	50	0	6	0	0	0	0	0	5	2	0	26	0	8	0	0	0
M01895_13_000000000-ABYEE_1_2101_7575_20349|gene_ShCO1	29	1	0	0	3	0	172	1	0	0	0	0	0	32	0	39	0	534	18	117	261	1	0	0	23	0	125	140	0	497	0	61	59	3	53	0	0	0	10	268	0	293	21	0	0	0	10	71	6	0	42	42	0	12	29	0
M01895_13_000000000-ABYEE_1_1101_20749_3258|gene_ShCO1	0	0	0	0	0	237	62	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2637	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	2
M01895_13_000000000-ABYEE_1_1105_16649_25099|gene_ShCO1	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1822	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_15104_1683|gene_ShCO1	0	0	0	0	1371	0	48	0	0	368	2	0	0	0	0	0	0	2	0	38	0	23	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	362	0	0	0	3	28	11	0	0	0	0	0	0	9	0	0	1	0	0
M01895_13_000000000-ABYEE_1_1102_9658_2830|gene_ShCO1	0	280	10	39	59	0	0	0	0	0	1	2	1	1	667	792	34	3	0	18	0	0	2	0	8	0	1	0	13	0	225	93	0	210	4	0	1	0	14	0	0	0	0	1	26	0	0	0	0	3	3	32	13	48	778	0
M01895_13_000000000-ABYEE_1_1101_9457_5692|gene_ShCO1	0	754	0	613	1186	0	1	0	0	0	2	0	21	0	22	244	0	0	5	15	0	0	2	38	84	110	30	0	59	0	111	668	137	39	11	0	0	0	0	0	0	11	0	1	0	0	55	0	0	0	0	0	6	151	926	0
M01895_13_000000000-ABYEE_1_2106_21455_25758|gene_ShCO1	0	0	0	0	0	0	0	91	0	1	0	0	0	0	0	3	0	373	0	0	1	1	0	0	1769	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1615	0	0	0	1	0	338	22	0	0	0	0	0	2	0	0
M01895_13_000000000-ABYEE_1_1101_20830_2795|gene_ShCO1	0	0	0	0	4	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	133	0	0	0	0	0	5	0	0	0	0	0	0	34	0	0	1	0	1	0	0	0	0	0	0	2	1908	0	0	0	0
M01895_13_000000000-ABYEE_1_1103_18367_11680|gene_ShCO1	0	19	0	0	4	0	0	0	0	0	0	0	0	0	132	364	0	0	2	0	0	1	0	0	1	0	0	0	0	0	34	0	1	40	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	1762	0
M01895_13_000000000-ABYEE_1_1102_21382_22952|gene_ShCO1	0	110	0	180	118	0	72	0	0	2	0	42	0	83	91	49	0	97	23	0	0	272	0	0	5	0	1	99	1	0	0	64	119	22	27	0	0	69	128	21	0	16	0	0	0	0	0	0	0	2	1	200	25	262	164	20
M01895_13_000000000-ABYEE_1_1101_15110_1858|gene_ShCO1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_20640_2459|gene_ShCO1	0	0	0	0	0	0	0	0	0	1045	0	0	1	0	0	0	0	0	0	103	0	0	0	5	0	0	0	380	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	569	0	0	0	0	0	0	0	1510	0	0	0
M01895_13_000000000-ABYEE_1_1101_10982_18144|gene_ShCO1	0	0	0	111	5	0	0	0	0	149	0	0	0	0	4	0	0	3	0	0	0	0	0	0	2	896	0	1	0	0	45	22	9	0	5	0	168	700	1	0	0	0	0	0	0	0	20	0	0	0	1	0	27	79	4	4
M01895_13_000000000-ABYEE_1_1101_9646_6484|gene_ShCO1	0	24	0	22	235	0	0	1	0	2	0	0	0	0	19	0	0	40	33	0	34	19	0	0	9	0	0	0	0	0	0	293	0	0	13	0	0	980	7	0	0	28	0	0	0	0	1	0	100	0	18	35	15	107	0	0
M01895_13_000000000-ABYEE_1_1101_21460_26165|gene_ShCO1	124	132	8	0	23	34	20	61	0	1419	1	0	16	5	173	14	1	17	51	3	1	35	7	61	1	2	72	34	28	20	9	0	22	1	2	0	1	14	15	0	1	73	19	0	56	12	4	1	115	0	1	21	67	0	199	1
M01895_13_000000000-ABYEE_1_1108_17133_18223|gene_ShCO1	0	0	0	76	17	0	3	0	0	0	0	0	0	17	1440	0	0	187	52	0	0	667	0	0	0	0	0	13	6	0	0	393	68	0	129	0	25	387	0	0	0	54	30	0	0	0	0	0	0	0	0	185	3	168	1	13
M01895_13_000000000-ABYEE_1_1105_19399_18342|gene_ShCO1	0	0	0	4	41	14	0	1190	0	0	0	0	53	0	0	0	0	35	0	0	0	0	0	0	3	20	2	0	1	0	11	6	9	6	4	0	0	23	0	0	0	1	9	9	0	0	0	112	252	0	0	0	0	0	88	0
M01895_13_000000000-ABYEE_1_1101_16086_1797|gene_ShCO1	2	1	0	0	0	1072	6	0	1316	0	606	0	567	4	0	2	260	3	1968	14	0	0	24	76	0	0	0	0	0	0	0	0	19	0	0	0	2421	8	105	7	0	1933	0	0	0	0	0	0	87	0	1	58	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_16673_21750|gene_ShCO1	688	0	0	0	0	0	0	0	0	1	1	0	0	0	0	6	0	345	65	162	214	0	0	0	0	0	6	29	17	0	0	87	6	4	75	0	0	0	0	0	41	55	0	0	0	0	2	122	0	0	48	0	8	0	0	0
M01895_13_000000000-ABYEE_1_1101_18985_1903|gene_ShCO1	0	0	152	0	0	0	1	0	0	1	20	0	0	0	0	0	588	61	0	0	0	0	0	0	0	1669	0	14	152	7	1	0	164	0	0	0	856	110	1	0	74	0	0	67	0	1	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_20530_2691|gene_ShCO1	0	229	0	0	314	0	0	0	0	20	0	0	23	0	0	0	0	313	0	505	0	0	7	0	0	240	6	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	74	0	13	61	0	3	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_15523_22620|gene_ShCO1	325	0	1	0	0	0	0	0	0	0	0	407	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	39	0	0	0	0	0	0	0	0	140	36	1	990	0	0	0	293	1	0	0	0	0	0	0	0	0	0	0	6
M01895_13_000000000-ABYEE_1_1101_12939_1618|gene_ShCO1	0	0	180	0	0	0	0	8	0	1	7	0	2661	0	5	0	894	21	79	0	1	2	4	0	0	50	0	0	71	7	0	0	0	0	0	0	0	0	9	0	13	79	0	7	0	0	0	93	46	0	1	8	1	2	0	0
M01895_13_000000000-ABYEE_1_1101_11692_7320|gene_ShCO1	0	18	0	0	61	159	0	320	0	0	0	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	2	0	25	759	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1102_19722_14959|gene_ShCO1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1299	0	18	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1
M01895_13_000000000-ABYEE_1_1101_12249_4136|gene_ShCO1	0	0	0	0	0	32	0	558	0	0	0	0	420	0	0	0	0	0	0	0	0	0	1	3	0	1	2	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	574	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1108_15780_8581|gene_ShCO1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1698	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1105_11237_9316|gene_ShCO1	1	0	1	0	9	0	0	0	0	1	0	0	0	180	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	8	1	258	1702	0	0	0	287	0	1	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2114_9889_9882|gene_ShCO1	21	0	0	71	1	0	3	1	3	0	19	0	0	0	13	0	2	474	0	84	0	33	89	1	0	898	0	25	92	42	0	0	810	0	0	1	126	273	0	0	2	0	197	8	78	0	0	0	0	0	2	2	2	18	1	3
M01895_13_000000000-ABYEE_1_1101_11192_2467|gene_ShCO1	315	0	0	0	0	0	0	9	19	0	3	0	0	0	0	0	0	0	0	586	0	0	1	46	0	161	0	205	2	2	0	0	6	0	0	0	0	0	0	0	0	0	0	0	411	287	0	0	27	0	0	0	7	0	0	0
